idVideo,features,category
1,1|0|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,Higiene corporal
2,1|0|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,Higiene corporal
3,1|0|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,extremidades
4,1|0|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,extremidades
5,1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1,extremidades
6,1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1,ojos
7,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación
8,0|1|0|0|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación
9,0|1|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación
10,0|1|0|0|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1,relajación
11,0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,relajación
12,0|1|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,relajación
13,0|1|0|0|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1,relajación
14,0|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1,relajación
15,0|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1,relajación
16,0|1|0|0|0|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1,relajación
